text,category,urgency_score
Garbage not cleared for two days in hostel A,Other,3
Fan making loud noise in room 274,Electrical,4
Medical emergency: student unconscious in room 109,Other,10
Water leak flooding the corridor near block 2,Plumbing,8
Security concern: main gate not locking in hostel E,Other,8
Water cooler not chilled in block 2,Other,3
CCTV not working in corridor of hostel G,Other,8
Burning smell from wiring in hostel C,Electrical,9
No power in one socket of room 198,Electrical,4
Sink drain slow and gurgling in room 255,Plumbing,3
Internet down in hostel F since last night,Internet,5
Minor leak under washbasin in room 176,Plumbing,3
Water cooler not chilled in block 3,Other,3
Light flickering in hallway of block 2,Electrical,4
Internet down in hostel G since last night,Internet,5
Staircase tile loose in block 3,Civil,7
Bed frame broken in room 280,Carpenter,4
Garbage not cleared for two days in hostel E,Other,3
Fan making loud noise in room 170,Electrical,4
Burst pipe in hostel G causing water overflow,Plumbing,8
Window latch not closing in room 155,Carpenter,4
CCTV not working in corridor of hostel B,Other,8
Common room needs cleaning in hostel B,Other,3
Charging points loose in room 292,Electrical,4
Emergency exit door blocked in block 4,Other,8
Fan making loud noise in room 124,Electrical,4
Common room needs cleaning in hostel E,Other,3
Fallen plaster in corridor of block 5,Civil,7
Medical emergency: student unconscious in room 275,Other,10
Fire alarm triggered due to smoke near kitchen in block 3,Other,10
Cannot connect to hostel WiFi from room 101,Internet,5
Network latency high during exams in hostel G,Internet,5
Sink drain slow and gurgling in room 256,Plumbing,3
Fan making loud noise in room 239,Electrical,4
Medical emergency: student unconscious in room 226,Other,10
Water leak flooding the corridor near block 3,Plumbing,8
Burst pipe in hostel E causing water overflow,Plumbing,8
Paint peeling in room 297,Civil,2
Short circuit smell near corridor panel in block 4,Electrical,9
Electric shock from switch in room 209,Electrical,9
Charging points loose in room 283,Electrical,4
Cannot connect to hostel WiFi from room 213,Internet,5
Gas leak smell in cafeteria near hostel A,Other,10
Sink drain slow and gurgling in room 242,Plumbing,3
Charging points loose in room 119,Electrical,4
Garbage not cleared for two days in hostel B,Other,3
Door lock jammed in room 172,Carpenter,4
Repeated power trips in hostel D causing safety issues,Other,8
Ceiling stains in room 125,Civil,2
Common room needs cleaning in hostel C,Other,3
Paint peeling in room 116,Civil,2
Staircase tile loose in block 1,Civil,7
Fan making loud noise in room 136,Electrical,4
Water seepage on wall of room 164,Civil,7
Minor leak under washbasin in room 126,Plumbing,3
Main water valve stuck and leaking in block 1,Plumbing,8
Fan making loud noise in room 224,Electrical,4
Tube light not working in room 198,Electrical,4
No water supply since morning in hostel C,Plumbing,8
Fallen plaster in corridor of block 4,Civil,7
No power in one socket of room 249,Electrical,4
Medical emergency: student unconscious in room 115,Other,10
Main water valve stuck and leaking in block 5,Plumbing,8
Severe injury reported in hostel A common room,Other,10
Sparks coming from switchboard in room 273,Electrical,9
Tube light not working in room 164,Electrical,4
Repeated power trips in hostel A causing safety issues,Other,8
WiFi router rebooting frequently in block 3,Internet,5
Cannot connect to hostel WiFi from room 218,Internet,5
Door lock jammed in room 260,Carpenter,4
Security concern: main gate not locking in hostel A,Other,8
No power in one socket of room 213,Electrical,4
Fire alarm triggered due to smoke near kitchen in block 5,Other,10
Water cooler not chilled in block 1,Other,3
Internet down in hostel A since last night,Internet,5
Very slow WiFi in room 284,Internet,5
Wardrobe lock broken in room 230,Carpenter,4
Room needs repainting in hostel G,Civil,2
Common room needs cleaning in hostel G,Other,3
Bathroom drainage clogged and overflowing in room 264,Plumbing,8
WiFi router rebooting frequently in block 4,Internet,5
Fallen plaster in corridor of block 1,Civil,7
Power outage and smoke near inverter room in hostel A,Electrical,9
Severe injury reported in hostel D common room,Other,10
Very slow WiFi in room 192,Internet,5
Fan making loud noise in room 191,Electrical,4
Gas leak smell in cafeteria near hostel E,Other,10
Short circuit smell near corridor panel in block 1,Electrical,9
Window latch not closing in room 169,Carpenter,4
Sparks coming from switchboard in room 320,Electrical,9
Minor wall crack in room 190,Civil,2
WiFi router rebooting frequently in block 1,Internet,5
Tube light not working in room 118,Electrical,4
Very slow WiFi in room 203,Internet,5
Toilet flush weak in block 3 restroom,Plumbing,3
Window latch not closing in room 130,Carpenter,4
Fallen plaster in corridor of block 3,Civil,7
Ceiling crack spreading in room 276,Civil,7
Pest sighting in room 118,Other,3
Noise complaint about late-night disturbance in block 3,Other,3
Sink drain slow and gurgling in room 271,Plumbing,3
